Vivado Simulator 2018.3
Time resolution is 1 ps
T=475000 | PC=000000b8 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=485000 | PC=000000bc | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=495000 | PC=000000c0 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=505000 | PC=000000c4 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=515000 | PC=000000c8 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=525000 | PC=000000cc | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=535000 | PC=000000d0 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=545000 | PC=000000d4 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=555000 | PC=000000d8 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=565000 | PC=000000dc | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=575000 | PC=000000e0 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=585000 | PC=000000e4 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=595000 | PC=000000e8 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=605000 | PC=000000ec | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=615000 | PC=000000f0 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=625000 | PC=000000f4 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=635000 | PC=000000f8 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=645000 | PC=000000fc | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=655000 | PC=00000100 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=665000 | PC=00000104 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=675000 | PC=00000108 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=685000 | PC=0000010c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=695000 | PC=00000110 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=705000 | PC=00000114 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=715000 | PC=00000118 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=725000 | PC=0000011c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=735000 | PC=00000120 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=745000 | PC=00000124 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=755000 | PC=00000128 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=765000 | PC=0000012c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=775000 | PC=00000130 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=785000 | PC=00000134 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=795000 | PC=00000138 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=805000 | PC=0000013c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=815000 | PC=00000140 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=825000 | PC=00000144 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=835000 | PC=00000148 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=845000 | PC=0000014c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=855000 | PC=00000150 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=865000 | PC=00000154 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=875000 | PC=00000158 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=885000 | PC=0000015c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=895000 | PC=00000160 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=905000 | PC=00000164 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=915000 | PC=00000168 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=925000 | PC=0000016c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=935000 | PC=00000170 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=945000 | PC=00000174 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=955000 | PC=00000178 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=965000 | PC=0000017c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=975000 | PC=00000180 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=985000 | PC=00000184 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=995000 | PC=00000188 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
$finish called at time : 1 us : File "D:/RTL_Design/RISC_V_Processor_32_bit/RISC_V_Processor_32_bit.srcs/sim_1/new/top_tb.v" Line 31
